toki pona, english
... (li) musi.,X is funny.
... (li) pona tawa X.,X likes ...
… ala … la ni li ike,must
... mute/poka (ante) ali,most ...
... pi tenpo ...,... times ... (math operator)
... poka ...,... + ...
(ijo) pi lukin sama (mute/kin),mirror
(ijo) pi lukin walo (mute),mirror
(mi meli.) mi olin e meli.,I am a lesbian.
(mi mije.) mi olin e mije.,I am gay (male).
(moku) sike nasa,drug pills
(ona) li ike.,"I don't like him/her/it, he/she/it is bad."
(ona) li pona.,"I like him/her/it, he/she/it is good."
(ona) li seme?,What is he/she like?
(ona) sama,(him/her/it)self
(pana e) telo tan selo,vi sweat
(sitelen) kiwen pi jan sewi,statue of a god
*kawa,head?
*ke,introduces relative clause
a a a!,Ha ha ha! (laughter)
a a a! ni li musi.,Hahaha! That's funny.
a soweli,yelp
a! akesi li wile moku e mi!,Ahh! The dinosaur wants to eat me!
a! sina lukin ala lukin e ijo nasa ni?,Whoa! Do you see that weird thing?
a! telo sijelo loje li kama tan nena kute mi!,Ahh! My ear is bleeding!
A*,"interj ah!, ahh, ha!, umm, hmm, oh!, ooh, aw!, etc. (emotion word)"
akesi jelo,?
akesi kiwen tomo,n turtle
akesi li pana e telo moli.,"The snake emitted venom (""deadly fluid"")"
akesi lili,"n small reptile/amphibian, frog"
akesi linja,"n snake, serpent"
akesi palisa,"n serpent, snake, alligator?"
akesi pi telo moli,"n venomous snakes, poisonous frogs"
akesi pi tomo kiwen,"turtle, tortoise"
akesi pi uta suli,alligator
akesi poka,turtle
akesi sike tomo,turtle
akesi telo,"frog, amphibian"
akesi telo wawa,alligator
akesi tomo,"lizard, etc"
akesi waso,pterodactyl
AKESI*,"n ""non-cute animal,"" monster, amphibian, reptile, lizard, dinosaur"
ala,mod no
ala,mod not n nothing
ala,mod none
ala li jaki.,Nothing is dirty.
ALA*,"n nothing, nothingness, negation mod no, not, none, zero, un- interj no!"
ali,mod every
ali ala,"mod some, not all, not every"
ali li jo e tenpo.,There is a time for everything. Everything in its right context. All in due time.
ali li pona,peace
ali li pona.,All is well. I feel calm. I am at peace. All good. Life is beautiful. Everything will be okay.
ali ma,earth's life
ali pi sitelen ala,the Unmanifested
ali sewi,"The All (The One, The Omni-) "
ALI*,"n everything, anything, all Life, the universe mod all, every, complete, whole, entire"
anpa,pass (an examination)
anpa,mod down
anpa,n floor
anpa,mod low
anpa ala,below zero
anpa ali,"fundamentally, at the very bottom, below everything, beneath it all"
anpa e monsi,"vi sit down, lie down?"
anpa ike,"vi fall, collapse n fall, collapse"
anpa lawa,"n neck, throat (bottom of head)"
anpa pi sinpin lawa,n chin
ANPA*,"n bottom, ground mod low, lower, bottom, deep prep under, below, beneath vi fall down?, descend? vt to lower, to overcome, to defeat, knock down"
ante,cont otherwise
ante,vt change
ante,n difference
ante,mod different
ante e lipu,"shuffle, turn the page(?)"
ante e toki,translate
ante la,"otherwise, on the other hand, on the contrary"
ante li kama.,Things change. Times have changed.
ante li sama,"and so on, etc."
ante lon,speed
ante utala pi jan lawa (ma),n coup d'état
ANTE*,"n difference mod different, other conj otherwise, or else vt to change, alter vi change"
ANU*,conj or
awen e pilin lon,"vphr fix thoughts on, keep thinking about"
awen lon,keep/remain in
awen pona,"vi to be patient (to wait well), keep well"
awen sinpin,stand (keep standing)
awen tawa,keep on going
awen tawa,stop going
awen unpa pi nasin soweli,doggy style
awen wawa,?
awen weka,"vi stay away vt keep away, delay"
AWEN*,"vi stay, wait, pause, remain vt keep mod remaining, stationary, permanent, sedentary n position(?), posture(?)"
E*,sep (introduces a direct object)
e/en ijo sama,"etc., and so on"
"Emu, Elemutu, Elumutu, Elemute",Helmut
en,with
en tenpo suno en tenpo pimeja,day and night
en X en Y,both and
EN*,conj and
ijo,n stuff
ijo,n something mod of something
ijo ike,"n bad thing(s), misfortune, problem(?)"
ijo kiwen telo,n brick
ijo li lon oko mi.,Something is in my eye.
ijo li lukin e mi.,Something is watching me. I am being watched.
ijo lon tawa,animal
ijo lon tomo,n household items
ijo musi,"gift, trinket"
ijo nanpa wan,first thing
ijo nasa lili,bustle
ijo pana,"sacrifice, offering"
ijo pana ,present (gift)
ijo pana olin,love gift
ijo pana suno,"light, lamp"
ijo pana tan jan Kolin li pona (tawa mi).,I like the present Colin gave me
ijo pi anpa selo,hidden thing
ijo pi awen ijo,file (computer)
ijo pi lukin ala,invisble3 thing
ijo pi sama ala,difference
ijo selo,concealed thing
ijo sin lon ilo pi sitelen tawa,tv news
ijo sinpin luka luka tu tu,thing with 14 faces?
ijo tawa jan sewi,"sacrifice, offering"
ijo tawa pi ken moli,animal
ijo uta walo,n teeth
ijo uta walo,teeth
ijo wile lukin,?
IJO*,"n thing, something, stuff, anything, object mod of something, vt objectify"
ike,n mod evil
ike,mod negative
ike la,unfortunately...
ike li kama.,Shit happens. Bad comes.
ike lukin,mod ugly
ike pali,hard (to do)
ike sijelo,sick
IKE*,"vt worsen, to make bad vi to be bad, to be rotten mod bad, evil, wrong, rotten, overly complex, (figuratively) unhealthy interj oh dear! uh-oh! woe! alas! n negativity, evil, badness, wrongdoing, sin"
ilo,n device
ilo,computer program
ilo,n machine
ilo (sijelo) waso,wing
ilo jan,robot
ilo kalama (pi toma tawa),horn (of a car)
ilo kiwen pi pakala kasi,ax
ilo lape,n sleeping pill
ilo lape soweli,"n animal tranquilizer or anesthetic, e.g. ketamine"
ilo lawa,"reins?, steering wheel?"
ilo len,washing machine
ilo len,loom
ilo li lon poki.,The tools are in the container.
ilo li pakala.,The tool doesn't work. The tool is broken.
ilo lukin,telescope (astronomical?)
ilo lukin,mirror
ilo lukin,x-ray or sonic scanner
ilo lukin ,"telescope, microscope, spectacles"
ilo lukin (pi lipu sona),browser (the computer again?)
ilo lukin oko,glassess
ilo lukin pi sike tu,glasses
ilo moku,n eating utensil (fork/spoon/knife)
ilo musi,"n toy, plaything, thing used for entertainment"
